tank,crab_ID,carapace,cheliped,species,density,eaten,alive,proportion_eaten,time
1,12,60.5,16.1,green,6,6,0,1,morning
2,11,60.4,16.1,green,64,17,47,0.265625,morning
3,6,58.3,14.4,green,6,6,0,1,morning
4,14,60.7,15.7,green,64,9,55,0.140625,morning
5,5,56.7,16.9,green,2,2,0,1,morning
6,1,62.4,11.5,green,16,16,0,1,morning
7,15,63,17.4,green,2,2,0,1,morning
8,67,54.4,15.6,green,16,15,1,0.9375,morning
1,13,58.1,14,green,2,1,1,0.5,afternoon
2,2,64.8,19.4,green,64,37,27,0.578125,afternoon
3,3,56.5,14.9,green,16,14,2,0.875,afternoon
4,72,60.3,19,green,32,11,21,0.34375,afternoon
5,4,65,19,green,6,6,0,1,afternoon
6,10,52.6,14,green,32,14,18,0.4375,afternoon
7,7,62,16.6,green,8,8,0,1,afternoon
9,0,64.9,21.6,green,32,32,0,1,afternoon
10,9,63.6,19,green,8,8,0,1,afternoon
1,16,163,44.5,red,64,38,26,0.59375,morning
2,12,130.6,31,red,16,6,10,0.375,morning
3,2,130.3,33.1,red,6,0,6,0,morning
4,11,148.4,35.6,red,2,0,2,0,morning
5,10,149.9,40.8,red,2,0,2,0,morning
6,18,137.5,36.1,red,16,1,15,0.0625,morning
7,14,153.5,42,red,16,3,13,0.1875,morning
8,7,143,32,red,8,0,8,0,morning
9,5,155,44.1,red,8,6,2,0.75,morning
2,19,154.5,43.9,red,6,0,6,0,afternoon
4,8,154.8,40.5,red,64,35,29,0.546875,afternoon
5,13,157,42.5,red,8,4,4,0.5,afternoon
6,3,130.5,33,red,6,0,6,0,afternoon
7,15,149.9,42.1,red,64,13,51,0.203125,afternoon
8,6,143.2,36.9,red,2,0,2,0,afternoon
1,20,139.9,38,red,32,28,4,0.875,morning
2,21,156,43.2,red,32,27,5,0.84375,morning
3,22,131.8,33,red,32,10,22,0.3125,morning
