tank,crab_ID,carapace,cheliped,species,density,eaten,alive,proportion_eaten,time,year
7,7,73,19.5,green,6,,,,morning,2019
12,12,73.9,20.1,green,16,,,,morning,2019
11,11,60,18.4,green,8,,,,morning,2019
1,1,60.1,13.8,green,64,,,,morning,2019
24,24,64.1,11.9,green,32,,,,morning,2019
6,6,70,18.2,green,2,,,,morning,2019
22,22,69.1,12.1,green,32,,,,morning,2019
16,16,59.6,14.3,green,2,,,,morning,2019
4,4,69.3,20.7,green,8,,,,morning,2019
15,15,64.1,13.6,green,32,,,,morning,2019
10,10,65.9,17.7,green,6,,,,morning,2019
20,20,63.8,13.4,green,16,,,,morning,2019
21,21,65.3,18.1,green,8,,,,morning,2019
19,19,62.2,15.4,green,64,,,,morning,2019
14,14,68.9,18.1,green,6,,,,morning,2019
23,23,62.6,11.2,green,16,,,,morning,2019
8,8,66.1,12.1,green,2,,,,morning,2019
13,13,73.8,20.8,green,64,,,,morning,2019
